y time id
1 1 128
0 2 128
0 3 128
3 4 128
1 5 128
0 6 128
2 7 128
1 8 128
0 9 128
2 10 128
2 11 128
0 12 128
0 13 128
1 14 128
0 15 128
0 1 129
0 2 129
1 3 129
0 4 129
0 5 129
0 6 129
0 7 129
1 8 129
0 9 129
1 10 129
1 11 129
1 12 129
1 13 129
1 14 129
0 15 129
0 1 130
1 2 130
0 3 130
0 4 130
1 5 130
0 6 130
2 7 130
5 8 130
1 9 130
0 10 130
2 11 130
1 12 130
0 13 130
2 14 130
0 15 130
2 1 131
2 2 131
2 3 131
3 4 131
3 5 131
3 6 131
2 7 131
2 8 131
2 9 131
3 10 131
2 11 131
3 12 131
2 13 131
2 14 131
2 15 131
1 1 132
1 2 132
2 3 132
2 4 132
1 5 132
1 6 132
1 7 132
1 8 132
2 9 132
2 10 132
3 11 132
3 12 132
3 13 132
2 14 132
3 15 132
3 1 133
4 2 133
3 3 133
2 4 133
3 5 133
2 6 133
4 7 133
3 8 133
3 9 133
0 10 133
1 11 133
2 12 133
3 13 133
2 14 133
3 15 133
4 1 134
2 2 134
2 3 134
2 4 134
3 5 134
2 6 134
2 7 134
3 8 134
2 9 134
0 10 134
2 11 134
2 12 134
1 13 134
0 14 134
2 15 134
3 1 135
3 2 135
3 3 135
2 4 135
3 5 135
2 6 135
3 7 135
3 8 135
2 9 135
1 10 135
3 11 135
2 12 135
1 13 135
2 14 135
4 15 135
8 1 136
6 2 136
12 3 136
2 4 136
1 5 136
3 6 136
4 7 136
5 8 136
4 9 136
4 10 136
4 11 136
8 12 136
11 13 136
10 14 136
11 15 136
2 1 137
3 2 137
2 3 137
2 4 137
2 5 137
2 6 137
2 7 137
2 8 137
0 9 137
1 10 137
2 11 137
0 12 137
4 13 137
3 14 137
0 15 137
2 1 138
3 2 138
4 3 138
5 4 138
5 5 138
4 6 138
4 7 138
4 8 138
4 9 138
5 10 138
5 11 138
5 12 138
5 13 138
5 14 138
6 15 138
0 1 139
0 2 139
0 3 139
2 4 139
1 5 139
2 6 139
2 7 139
2 8 139
2 9 139
2 10 139
2 11 139
2 12 139
3 13 139
3 14 139
1 15 139
4 1 140
3 2 140
3 3 140
3 4 140
3 5 140
3 6 140
4 7 140
4 8 140
3 9 140
2 10 140
2 11 140
1 12 140
4 13 140
3 14 140
2 15 140
0 1 141
1 2 141
1 3 141
1 4 141
1 5 141
0 6 141
2 7 141
3 8 141
1 9 141
0 10 141
1 11 141
0 12 141
1 13 141
6 14 141
3 15 141
3 1 142
2 2 142
0 3 142
4 4 142
2 5 142
2 6 142
2 7 142
2 8 142
2 9 142
2 10 142
2 11 142
4 12 142
5 13 142
2 14 142
4 15 142
3 1 143
1 2 143
0 3 143
3 4 143
2 5 143
2 6 143
0 7 143
0 8 143
0 9 143
1 10 143
0 11 143
0 12 143
0 13 143
0 14 143
0 15 143
0 1 144
0 2 144
2 3 144
0 4 144
0 5 144
1 6 144
1 7 144
3 8 144
1 9 144
1 10 144
1 11 144
2 12 144
2 13 144
1 14 144
2 15 144
2 1 145
3 2 145
1 3 145
1 4 145
1 5 145
2 6 145
0 7 145
0 8 145
0 9 145
1 10 145
2 11 145
1 12 145
1 13 145
1 14 145
2 15 145
3 1 146
3 2 146
3 3 146
3 4 146
3 5 146
4 6 146
8 7 146
3 8 146
3 9 146
7 10 146
4 11 146
3 12 146
4 13 146
5 14 146
6 15 146
2 1 147
2 2 147
4 3 147
1 4 147
0 5 147
1 6 147
2 7 147
1 8 147
1 9 147
0 10 147
1 11 147
1 12 147
2 13 147
1 14 147
2 15 147
5 1 148
7 2 148
5 3 148
4 4 148
